univerzita,dotacie,mzdy,dotacie-dokt,dotacie-stud,zamestnanci,int-dokt,dokt-abs,studenti,studenti-denni,publikacie,absolventi,ubyt-kap-sd,ubyt-studenti-sd,prispevok-sd,rok,publik‡cie,publikacie 07711,publikacie 07712,pub-podiel-07711,pub-podiel-07712
AU,2663992.0,1187816,196196.0,293568,0.0,30,,629.0,560.0,,1274.0,136.0,100.0,6400.0,2012,,22.0,9.0,,
KU,9145252.0,4097915,922312.0,2031039,0.0,166,,7353.0,3825.0,,5969.0,631.0,541.0,28992.0,2012,,508.0,424.0,,
UJS,2086538.0,991549,84828.0,636283,0.0,9,,2403.0,1552.0,,1188.0,513.0,468.0,37440.0,2012,,73.0,49.0,,
UK,81386261.74,22914507,5874960.0,9129132,,1591,,27714.0,22447.0,,,10927.0,10159.0,800800.0,2013,,,,21.29544318,26.63898234
UPJŠ,25847418.24,7266005,1679520.0,2995921,,361,,8728.0,7477.0,,,1806.0,1803.0,131920.0,2013,,,,6.564443569,9.264289837
PU,20814817.01,5924397,1061460.0,4967091,,219,,9872.0,6941.0,,,1933.0,1987.0,156624.0,2013,,,,6.09681663,4.591444476
UCM,8420137.119,3103689,338460.0,926946,,79,,5445.0,4227.0,,,223.0,218.0,13952.0,2013,,,,2.410894665,2.043675628
UVL,10076863.32,3344291,460500.0,1016792,,118,,2082.0,1901.0,,,901.0,837.0,66960.0,2013,,,,1.79723299,2.196006338
UKF,20596895.23,6945816,1165800.0,2582975,,254,,12208.0,8361.0,,,1559.0,1559.0,124720.0,2013,,,,6.826387071,5.642482141
UMB,20539225.45,6752735,955800.0,3121150,,267,,12168.0,7966.0,,,2434.0,2288.0,161360.0,2013,,,,6.572278175,4.964384231
TVU,10644006.71,3621401,543660.0,1069164,,191,,7076.0,4375.0,,,0.0,0.0,0.0,2013,,,,4.245190706,2.953548672
STU,57961374.83,16787886,4639020.0,5286672,,1215,,17796.0,17018.0,,,6538.0,6534.0,519744.0,2013,,,,10.69866399,13.29267174
TUKE,38993318.4,12117940,1764720.0,6583930,,541,,15325.0,12284.0,,,4984.0,5366.0,429280.0,2013,,,,8.141937997,8.445867195
ŽU,27069175.81,8242808,977160.0,4376498,,383,,11352.0,9359.0,,,5048.0,4534.0,362720.0,2013,,,,3.920745088,3.273069209
TUAD,6978816.807,2504025,366960.0,700630,,85,,4442.0,2897.0,,,300.0,143.0,4576.0,2013,,,,1.132374735,1.22323737
EU,20702854.54,7175864,816600.0,3070075,,245,,11540.0,9188.0,,,3365.0,3300.0,243360.0,2013,,,,5.654726965,3.722011865
SPU,20414127.16,6825886,596940.0,2538394,,245,,9850.0,7143.0,,,3071.0,3013.0,231376.0,2013,,,,4.797678372,4.400455048
TUZVO,11439793.17,3638581,758580.0,1400300,,154,,4862.0,3379.0,,,1524.0,1430.0,105984.0,2013,,,,3.306724147,2.905539192
VŠMU,5863590.816,2155821,271740.0,203968,,68,,1105.0,1045.0,,,0.0,0.0,0.0,2013,,,,0.240176429,0.131349296
VŠVU,3783037.785,1321658,238980.0,123124,,65,,672.0,647.0,,,0.0,0.0,0.0,2013,,,,0.523321016,0.178785006
AU,3310613.091,1223047,112860.0,289239,,35,,613.0,570.0,,,136.0,108.0,6912.0,2013,,,,0.28472747,0.166907465
KU,12451732.97,3722800,685560.0,2236645,,176,,7754.0,4394.0,,,648.0,375.0,30400.0,2013,,,,4.611248443,3.356470468
UJS,3066255.821,1044148,65340.0,633382,,14,,2219.0,1556.0,,,513.0,440.0,35200.0,2013,,,,0.878988361,0.60882249
UK,87178106.0,24825894,4324576.0,8971933,,1644,,27553.0,22693.0,,,10923.0,10090.0,798352.0,2014,,,,21.09411276,30.21748703
UPJŠ,25039139.0,7786973,929760.0,2165758,,391,,8441.0,7341.0,,,1806.0,1626.0,126832.0,2014,,,,5.717270987,8.952648304
PU,20109134.0,6557780,657984.0,3564469,,207,,10105.0,7478.0,,,1937.0,2011.0,160880.0,2014,,,,6.567317392,3.961672086
UCM,9194847.0,3594294,97744.0,1025399,,79,,5984.0,4541.0,,,224.0,215.0,13760.0,2014,,,,3.011222711,2.002218503
UVL,10905927.0,3838187,433888.0,793973,,119,,2185.0,2007.0,,,901.0,866.0,69280.0,2014,,,,1.906589432,2.725992942
UKF,20192249.0,7364745,390976.0,2490427,,242,,11714.0,8141.0,,,1715.0,1713.0,137040.0,2014,,,,6.600709248,5.327422713
UMB,19212263.0,6670186,328992.0,2454666,,241,,11387.0,7826.0,,,2434.0,2306.0,162720.0,2014,,,,6.234504895,4.158508836
TVU,10566731.0,3918882,128736.0,864892,,133,,6653.0,4409.0,,,0.0,0.0,0.0,2014,,,,4.196544869,2.838505292
STU,56949202.0,17238516,2093152.0,6049259,,1103,,17125.0,16580.0,,,6544.0,6536.0,519904.0,2014,,,,10.27895579,12.97957678
TUKE,39102117.0,12265454,963136.0,6013570,,464,,13169.0,10762.0,,,4984.0,4788.0,383040.0,2014,,,,8.969225285,8.751254489
ŽU,28387075.0,8663995,386208.0,4672929,,322,,11140.0,9399.0,,,5024.0,4481.0,358480.0,2014,,,,4.100900872,3.400564318
TUAD,6577023.0,2416530,112048.0,658642,,77,,3875.0,2568.0,,,306.0,141.0,10144.0,2014,,,,1.283835793,1.230419297
EU,19766094.0,7203899,257472.0,2791137,,218,,10659.0,8668.0,,,3583.0,3291.0,232896.0,2014,,,,4.966013904,2.691856243
SPU,21054167.0,7161881,433888.0,2607714,,225,,9481.0,7147.0,,,2740.0,2677.0,193696.0,2014,,,,5.159779882,4.032557406
TUZVO,11135502.0,3738020,157344.0,1401271,,131,,4502.0,3274.0,,,1524.0,1472.0,117760.0,2014,,,,3.491128128,3.129649862
VŠMU,5758098.0,2263748,90592.0,182079,,59,,1094.0,1048.0,,,0.0,0.0,0.0,2014,,,,0.24954437,0.122355103
VŠVU,3864397.0,1389622,95360.0,96892,,61,,674.0,653.0,,,0.0,0.0,0.0,2014,,,,0.480674749,0.1340261
AU,3641249.0,1368141,57216.0,315466,,28,,586.0,542.0,,,136.0,108.0,6912.0,2014,,,,0.30950764,0.113046465
KU,11778248.0,4088371,154960.0,1542090,,167,,7517.0,4737.0,,,667.0,550.0,29936.0,2014,,,,4.249182814,2.581258429
UJS,3121950.0,1168169,33376.0,512735,,19,,2061.0,1533.0,,,513.0,464.0,37120.0,2014,,,,1.132978476,0.648979806
UK,90332246.0,27611369,1445398.0,9642533,,1443,,27593.0,20456.0,,,10940.0,10076.0,803696.0,2015,,,,24.28317092,26.73440924
UPJŠ,27971778.0,8345810,572237.0,2423664,,389,,8213.0,6028.0,,,1826.0,1617.0,124896.0,2015,,,,7.298099339,8.285886086
PU,20452179.0,6505160,235793.0,3810466,,171,,9817.0,7028.0,,,1943.0,2027.0,162160.0,2015,,,,5.518930483,4.229708044
UCM,9260692.0,3414439,4863.0,1163974,,77,,6397.0,4534.0,,,224.0,211.0,6752.0,2015,,,,2.586973912,2.193657358
UVL,11527039.0,4445291,178121.0,867559,,122,,2344.0,2037.0,,,903.0,773.0,61840.0,2015,,,,2.194468133,2.19750817
UKF,19494160.0,7080788,113073.0,2259209,,205,,10811.0,7270.0,,,1701.0,1700.0,136000.0,2015,,,,4.986715527,4.301412828
UMB,19453502.0,6375887,29180.0,2741873,,219,,10417.0,6978.0,,,2434.0,2310.0,162960.0,2015,,,,4.788130484,3.996822416
TVU,9900927.0,3556003,14590.0,845093,,90,,6152.0,3973.0,,,0.0,0.0,0.0,2015,,,,3.106824056,2.311560825
STU,56970638.0,16774399,508829.0,6443076,,791,,16399.0,13919.0,,,6542.0,6536.0,519904.0,2015,,,,11.89565331,13.92394026
TUKE,38829443.0,11933257,339401.0,5563474,,420,,11694.0,9278.0,,,4992.0,4307.0,344560.0,2015,,,,10.81533835,11.35425328
ŽU,30935455.0,9144109,12158.0,4586363,,293,,10434.5,8654.5,,,5026.0,4458.0,356640.0,2015,,,,4.388672248,4.755332877
TUAD,6590406.0,2349776,14590.0,623867,,55,,3480.0,2332.0,,,215.0,154.0,12320.0,2015,,,,1.390139304,1.389789195
EU,19299757.0,6773204,10335.0,2657475,,179,,10139.0,7805.0,,,3017.0,2916.0,209376.0,2015,,,,4.387220153,3.693615198
SPU,21341628.0,7027528,111249.0,2684009,,188,,9024.0,6632.0,,,3242.0,2855.0,209728.0,2015,,,,4.536125933,4.189883119
TUZVO,10989141.0,3590378,0.0,1546907,,97,,4211.0,2933.0,,,1524.0,1385.0,110800.0,2015,,,,3.234608449,3.070015959
VŠMU,5434966.0,2274352,4863.0,158756,,60,,1068.0,1019.0,,,0.0,0.0,0.0,2015,,,,0.122680058,0.064534305
VŠVU,4326912.0,1448395,16414.0,94711,,37,,651.0,553.0,,,0.0,0.0,0.0,2015,,,,0.217286271,0.037678208
AU,3534568.0,1351373,0.0,179555,,29,,582.0,495.0,,,136.0,110.0,7040.0,2015,,,,0.18666026,0.075522399
KU,11715957.0,3810392,4863.0,1996213,,137,,6773.0,4160.0,,,678.0,527.0,29616.0,2015,,,,3.076418059,2.483430994
UJS,3228115.0,1208384,3648.0,488182,,19,,1911.0,1436.0,,,513.0,428.0,34240.0,2015,,,,0.985884753,0.711039239
UK,95623262.0,29528162,0.0,9277513,,1238,,26504.0,19684.0,,,10893.0,9461.0,754640.0,2016,,,,23.53958906,25.31910794
