univerzita;rok;typ učiteľa;úväzok;DrSc.;CSc., PhD.;iný/žiadny titul;spolu
AU;2014;odborný asistent;full-time;0;33;14;47
AU;2014;odborný asistent;part-time;0;15;3;18
AU;2014;profesor;full-time;1;9;23;33
AU;2014;profesor;part-time;1;2;1;4
AU;2015;asistent;full-time;0;0;1;1
AU;2015;asistent;part-time;0;0;5;5
AU;2015;docent;full-time;0;12;10;22
AU;2015;docent;part-time;0;3;2;5
AU;2015;hosťujúci profesor;full-time;0;0;0;0
AU;2015;hosťujúci profesor;part-time;0;0;0;0
AU;2015;lektor;full-time;0;0;0;0
AU;2015;lektor;part-time;0;0;0;0
AU;2015;odborný asistent;full-time;0;38;13;51
AU;2015;odborný asistent;part-time;0;16;1;17
AU;2015;profesor;full-time;1;9;22;32
AU;2015;profesor;part-time;0;1;1;2
AU;2016;asistent;full-time;0;0;1;1
AU;2016;asistent;part-time;0;0;2;2
AU;2016;docent;full-time;0;13;10;23
AU;2016;docent;part-time;0;1;2;3
AU;2016;hosťujúci profesor;full-time;0;0;0;0
AU;2016;hosťujúci profesor;part-time;0;0;0;0
AU;2016;lektor;full-time;0;0;0;0
AU;2016;lektor;part-time;0;0;0;0
AU;2016;odborný asistent;full-time;0;49;6;55
AU;2016;odborný asistent;part-time;0;13;0;13
AU;2016;profesor;full-time;1;9;21;31
AU;2016;profesor;part-time;0;1;1;2
AU;2017;asistent;full-time;0;0;1;1
AU;2017;asistent;part-time;0;0;1;1
AU;2017;docent;full-time;0;15;11;26
AU;2017;docent;part-time;0;1;2;3
AU;2017;hosťujúci profesor;full-time;0;0;0;0
AU;2017;hosťujúci profesor;part-time;0;0;0;0
AU;2017;lektor;full-time;0;0;0;0
AU;2017;lektor;part-time;0;0;0;0
AU;2017;odborný asistent;full-time;0;52;7;59
AU;2017;odborný asistent;part-time;0;9;0;9
AU;2017;profesor;full-time;1;9;19;29
AU;2017;profesor;part-time;0;2;1;3
AU;2018;asistent;full-time;0;0;2;2
AU;2018;asistent;part-time;0;0;2;2
AU;2018;docent;full-time;0;16;11;27
AU;2018;docent;part-time;0;0;1;1
AU;2018;hosťujúci profesor;full-time;0;0;0;0
AU;2018;hosťujúci profesor;part-time;0;0;0;0
AU;2018;lektor;full-time;0;0;0;0
AU;2018;lektor;part-time;0;0;0;0
AU;2018;odborný asistent;full-time;0;49;7;56
AU;2018;odborný asistent;part-time;0;8;0;8
AU;2018;profesor;full-time;1;9;18;28
AU;2018;profesor;part-time;0;2;1;3
AU;2019;asistent;full-time;0;0;4;4
AU;2019;asistent;part-time;0;0;2;2
AU;2019;docent;full-time;0;19;11;30
AU;2019;docent;part-time;0;0;1;1
AU;2019;hosťujúci profesor;full-time;0;0;0;0
AU;2019;hosťujúci profesor;part-time;0;0;0;0
AU;2019;lektor;full-time;0;0;0;0
AU;2019;lektor;part-time;0;0;0;0
AU;2019;odborný asistent;full-time;0;54;7;61
AU;2019;odborný asistent;part-time;0;8;0;8
AU;2019;profesor;full-time;1;8;18;27
AU;2019;profesor;part-time;0;2;1;3
AU;2020;asistent;full-time;0;0;3;3
AU;2020;asistent;part-time;0;0;4;4
AU;2020;docent;full-time;0;19;14;33
AU;2020;docent;part-time;0;0;1;1
AU;2020;hosťujúci profesor;full-time;0;0;0;0
AU;2020;hosťujúci profesor;part-time;0;0;0;0
AU;2020;lektor;full-time;0;0;0;0
AU;2020;lektor;part-time;0;0;0;0
AU;2020;odborný asistent;full-time;0;58;6;64
AU;2020;odborný asistent;part-time;0;5;2;7
AU;2020;profesor;full-time;0;9;15;24
AU;2020;profesor;part-time;0;2;0;2
AU;2021;asistent;full-time;0;0;2;2
AU;2021;asistent;part-time;0;0;5;5
AU;2021;docent;full-time;0;29;11;40
AU;2021;docent;part-time;0;0;0;0
AU;2021;hosťujúci profesor;full-time;0;0;0;0
AU;2021;hosťujúci profesor;part-time;0;0;0;0
AU;2021;lektor;full-time;0;0;4;4
AU;2021;lektor;part-time;0;0;6;6
AU;2021;odborný asistent;full-time;0;54;8;62
AU;2021;odborný asistent;part-time;0;5;0;5
AU;2021;profesor;full-time;0;10;8;18
AU;2021;profesor;part-time;0;2;0;2
AU;2022;asistent;full-time;0;0;2;2
AU;2022;asistent;part-time;0;0;5;5
AU;2022;docent;full-time;0;35;10;45
AU;2022;docent;part-time;0;0;0;0
AU;2022;hosťujúci profesor;full-time;0;0;0;0
AU;2022;hosťujúci profesor;part-time;0;0;0;0
AU;2022;lektor;full-time;0;0;4;4
AU;2022;lektor;part-time;0;0;5;5
AU;2022;odborný asistent;full-time;0;42;18;60
AU;2022;odborný asistent;part-time;0;3;0;3
AU;2022;profesor;full-time;1;14;8;23
AU;2022;profesor;part-time;0;0;0;0
EU;2009;asistent;full-time;0;0;12;12
EU;2009;asistent;part-time;0;0;2;2
EU;2009;docent;full-time;0;96;0;96
